user_name,user_location,user_description,user_verified,date,text,hashtags,source
😩☁️🌈,Canada,Just a tired bit of sky doing my best to add a little bit of good into the world. He/him/his,False,2021-08-17 12:18:45,"@DrKateTO Based on the reported policy, I imagine any vaccine passport policy will be similar - ""vaccine passports will be required for all indoor non-essential activities, but if you had a negative test within the last couple weeks it's fine, I guess""",,Twitter Web App
Ottawa Sun,"Ottawa, Canada","News, Sports, Entertainment, Comment from Canada's Capital. Words, photos, video, blogs, chats, forums & more",True,2021-08-17 12:18:37,Shopping malls in France to require COVID-19 health pass https://t.co/KXEE34TM4t https://t.co/nVVss4y4j7,,Echobox
Ottawa Citizen,"ÜT: 45.246915,-76.163963",The biggest daily in the nation's capital,True,2021-08-17 12:18:35,French shopping malls to require COVID-19 health pass https://t.co/laMz0kVMDG https://t.co/f7mEe0mebi,,Echobox
Delta NS1 Vaccines,USA and Austria,"Developing nasal spray, self-adjuvanting vaccines: DeltaFLU Universal Influenza vaccine, and Delta-19 combination Covid-19/Universal Influenza vaccine",False,2021-08-17 12:18:01,"More recognition for the importance of developing an intranasal vaccine for better protection against covid-19. #COVID19 #vaccines #VaccinesSaveLives 
https://t.co/doeJRhN7F7",,Twitter Web App
Michael Watson,Maryland,"Dad x2, husband. Sushi-eating heretic. Research @CapitalResearch Influence Watch, speak only for myself. Not one step backward.",False,2021-08-17 12:17:44,"No one has protested New York and Los Angeles’ vaccine passport schemes; of course, Americans are litigious.

So, has anyone even sued? Because otherwise this is how liberty dies, to thunderous silence.",,Twitter for iPhone
WSJ Editorial Page,New York,Opinion & Commentary from The Wall Street Journal.,True,2021-08-17 12:16:54,"Mucous membranes provide the first line of defense against illness, which is why it can make sense for vaccinated people to wear a mask. But vaccines still reduce the risk of serious illness or death, writes Dr. Michael Segal. 
https://t.co/nd8kzy2hxR",,SocialFlow
Jaipo (every platform),lost in France,"on the increasing fruitless search for Liberty. 

Founder & Host https://t.co/POW1qack3V

I follow back 

https://t.co/wVTT3ErB1A",False,2021-08-17 12:15:57,"McDonald's won't let you buy a takeaway without pass sanitaire. You can always rely on @McDonaldsCorp to take it one step further. 

Your loss.",,Twitter for Android
Marc Gisby 🏏🎮 🇪🇺,"Margate, Kent ",32 Father of 2. @kentcricket All views are my own :) Science lover. 1st year Biology Student. Love SMT/Persona. Former law student. Country Music Lover,False,2021-08-17 12:14:52,"@BlueEarthMngmnt @BigKev67 While I accept that point, to a degree, businesses in our country will want proof. Football stadiums etc. It's only the media whipping people into a frenzy. Did one for my nan earlier a NHS Covid Pass I think it's called for events. 2 minutes. Didn't cost a penny. No issue",,Twitter for Android
Tyler Thomas,"Lafollette, Tennessee",Life is what you make it - 28 - Cancer ♋️ - Producer/DJ - Drummer 🥁- Farmer🌿🐄 - Content Creator📸 - Entrepreneur🧑🏼‍💻 - Not available not interested 🚫,False,2021-08-17 12:14:15,"Remember kids, it’s woke to require an ID to get a vaccine passport so you can show that passport to go to a grocery store, however, showing an ID to vote is clearly racist and a civil rights abuse akin to segregation and coercion of black Americans in the south. STAY WOKE https://t.co/gZwTiU9LMK https://t.co/e5iEOsHAbf",,Twitter for iPhone
sydoz,Australia,,False,2021-08-17 12:14:08,"Bravo
Protesters in France denounce COVID-19 health pass https://t.co/o3BlxfeCUo",,Twitter for Android
Ricky Angelo P,,"Custom Art/Character Design/2D Animation 🎨 Retro Games👾 Shop/Merch,link in bio. Commissions CLOSED",False,2021-08-17 12:14:03,"sure don't give out the ""vaccine passport "" the day when we actually get the 2nd vaccination.. because that would only make sense lmaoo dumbulances. might as well create some ""group gathering"" chaos or make people do even more..this shit isn't a fishing license/outdoors card.. 😆",,Twitter for iPhone
Unvaccinated White Whale 2.0,,America First! Save the West. The vaxx doesn’t stop transmission. #StopAntiwhitehatred 🎚,False,2021-08-17 12:13:57,The Taliban never asked me to provide a vaccine passport to enter a restaurant.,,Twitter for iPhone
David Clark.,,,False,2021-08-17 12:13:42,@elonmusk @AustinDeSisto Do you need a covid passport to get into space ?,,Twitter Web App
Nic Hahn,,"Mom, wife and small business owner. Traveler, artist, gardener. Livin’ the life in Northern Michigan.",False,2021-08-17 12:13:13,"@AP Hmmm, so how’s the narrative going to work, if all those who were “fully” vaccinated, are suddenly not? 
Wonder how that will work with DeBlasio’s vaccine passport?",,Twitter for iPhone
Trevor,"Toronto, ON","Chef, Manager, Culinary Wizard",False,2021-08-17 12:13:06,"@Holisticnow1 @Manafhasan @CP24 It's a false sense of security.   The vaccine passport is not the be all end all.  You can still catch, spread, and become seriously ill from covid.   Does it reduce your chances, yes.  But its not an immunization.",,Twitter for Android
MirageApp,,"Disruptive tech in the palm of your hands - Join the fight. 
App Coming soon. Follow for updates.",False,2021-08-17 12:13:00,"@Australian_FF THEY WANT YOU HOOKED ON THEIR VACCINE PASSPORT SYSTEM FOR AS CHEAP AS POSSIBLE.

They do NOT care about public health. COVID is NOT a real threat to 90% of people.
- infected 0.0015% of the population
- killed 0.000037% of the population
- 91.8% of deaths were in people over 70",,Twitter Web App
Marc Gisby 🏏🎮 🇪🇺,"Margate, Kent ",32 Father of 2. @kentcricket All views are my own :) Science lover. 1st year Biology Student. Love SMT/Persona. Former law student. Country Music Lover,False,2021-08-17 12:12:24,"@BlueEarthMngmnt @BigKev67 But to show a vaccine passport would allow access into XYZ country and therefore, freedoms within that country - go to various businesses etc",,Twitter for Android
gramma,,I love curling and fishing and getting away from cold Canadian winters.,False,2021-08-17 12:12:15,"@ELRey1325 @newsjunky99 @CBCNews They are not taking, they are giving you a vaccine passport 
What is the big deal, you don't want a vaccine 
YOU wont get a vaccine passport, full stop!
Now live with the consequences of your action/lack of action.
No whining, bitching etc !",,Twitter for Android
CanOutlander~🎯,Canada,,False,2021-08-17 12:11:55,@FSWOUTLANDAWAI1 @marcomendicino @CanHCGhana @PattyHajdu @CPHO_Canada @JustinTrudeau @marcomendicino @JustinTrudeau @canadavisa_com @CanadainIndia @CitImmCanada waiting time is huge. Life at stake ! No updates for longer time ! Everyday mental stress! ReleasePPR asap make vaccine passport for 🇮🇳 and other countries #seekingPRupdatestoday👍,,Twitter for iPhone
MirageApp,,"Disruptive tech in the palm of your hands - Join the fight. 
App Coming soon. Follow for updates.",False,2021-08-17 12:11:33,"@BreadandtheMan THEY WANT YOU HOOKED ON THEIR VACCINE PASSPORT SYSTEM FOR AS CHEAP AS POSSIBLE.

They do NOT care about public health. COVID is NOT a real threat to 90% of people.
- infected 0.0015% of the population
- killed 0.000037% of the population
- 91.8% of deaths were in people over 70",,Twitter Web App
