,0
continue shoot,1.2275133757962404
shoot hip,1.2275133757962404
passport thank,1.2209745339825373
covid jab,1.220766284737861
passport global,1.2204297498284116
vaccinate vaccinate,1.2189950921664958
passport loom,1.2181308406806173
arm come,1.2181308406806173
enjoy vaccine,1.2177696597185146
health card,1.2175618850509264
passport nice,1.2161933486354082
officer health,1.2150196698868754
wonder vaccine,1.2141601510821207
right like,1.2137493459843003
know access,1.2133875237004985
passport protester,1.209664190602663
pass people,1.2076328734113284
people shot,1.207089533104503
save life,1.2056081500648268
small business,1.2014858027093611
need negative,1.2010192305137037
passport shot,1.2009629397062926
apple wallet,1.1994039970209354
personality attack,1.1994001150623645
quietly implement,1.1994001150623645
implement version,1.1994001150623645
passport personality,1.1994001150623645
support government,1.1984991886957896
pass mandate,1.1963896716302644
people think,1.1961928264967263
word vaccine,1.1955229978548538
deny people,1.194998862962713
beast store,1.194998862962713
food water,1.194998862962713
people food,1.194998862962713
store deny,1.194998862962713
enter business,1.194376219511546
vaccination record,1.1920680224474958
passport totally,1.1904378761914454
think right,1.1895676925039966
prepare launch,1.1893553309313554
owner prepare,1.1893553309313554
negative lateral,1.1879444209604195
way need,1.18587192193861
people ontario,1.1845976939153855
lockdown covid,1.1835129911849975
amp beginning,1.1828950233137263
passport bull,1.1819843643050532
hold vaccine,1.181681962410998
sense security,1.1809978980226334
false sense,1.1809978980226334
exclusive coverage,1.1800140402437487
ny union,1.1800140402437487
massive crowd,1.1800140402437487
crowd vax,1.1800140402437487
mandate protest,1.1800140402437487
protest ny,1.1800140402437487
coverage massive,1.1800140402437487
mandate court,1.1800140402437487
union leader,1.1800140402437487
produce vaccine,1.1786095546832471
safe vaccine,1.1776926877401404
passport encourage,1.1775509958577166
anti covid,1.1774874660951258
flip flop,1.175570068600965
dose booster,1.1747874770347169
mandate official,1.1747874770347169
shot mandate,1.1747874770347169
month dose,1.1747874770347169
abpoli ableg,1.1740557323167415
passport abpoli,1.1740557323167415
video covid,1.1715398649566273
passport guarantee,1.1713859568710911
yep vaccine,1.1709180471824332
ve vaccinate,1.1705709250708718
compare vaccine,1.169800963628739
biden announce,1.1684845807602247
announce need,1.1684845807602247
conspiracy theory,1.1674734278221406
anti vaxer,1.1671546480625667
passport chance,1.165081923099439
outside opposition,1.1644177349648785
fb group,1.1641193353052623
vaccine requirement,1.1636172032482195
high vaccination,1.163342710551761
kill love,1.1630284064990233
antigen test,1.1624576552785704
passport valid,1.1597330474515568
cafe protest,1.1572842276863455
dine outside,1.1572842276863455
outside cafe,1.1572842276863455
people dine,1.1572842276863455
country vaccine,1.1548072582733762
passport sun,1.1526767590126081
business business,1.1522399831560175
rise province,1.1501141913421455
government consider,1.1501141913421455
consider implement,1.1501141913421455
case rise,1.1501141913421455
passport cdnpoli,1.149734447369772
passport fascism,1.14888351451391
nightclub covid,1.1477344477024012
amid claim,1.1466500653649345
scheme amid,1.1466500653649345
claim riddled,1.1466500653649345
allow business,1.1461273492617208
ass hole,1.138885260638645
covid amp,1.1387759611755024
vaccinate wear,1.1350997570290566
double vaxxe,1.1347375588798614
pass protest,1.1319835671491154
surge case,1.1317954988107113
pass rule,1.1270462739900173
underway vaccine,1.1270352769740295
conversation underway,1.1270352769740295
correct vaccine,1.126772667970514
business leader,1.1255147625547641
propose vaccine,1.1246007588771558
people time,1.1224435903899799
passport kind,1.1223068815084842
anti vaxx,1.1216558700685408
grow concern,1.1208904932194637
lack exemption,1.1208904932194637
plan lack,1.1208904932194637
concern human,1.1208904932194637
right advocate,1.1208904932194637
ontario ontario,1.1200222725191211
rest life,1.1195428042128337
want control,1.1185727615460008
catch transmit,1.1153518993517784
term vaccine,1.1145698048204706
passport prevent,1.1140108819799615
booster shoot,1.1103577019757158
use prove,1.107328328210871
social distancing,1.1057929901594776
passport pub,1.1057749439180196
consecutive protest,1.1053464996183688
talk vaccine,1.105011056207651
exactly vaccine,1.1033229083802607
reason health,1.1009804123327915
passport reduce,1.1006497795620596
passport start,1.10034568530814
passport answer,1.0997936650879834
double vaccinated,1.099134156987476
passport premier,1.0990161448395632
reject mandatory,1.0988059086624615
mandatory health,1.0988059086624615
protest reject,1.0988059086624615
passport tell,1.0967746976610484
pass virus,1.0967400824192413
passport attend,1.0965750835907686
passport bring,1.0934760058797133
version covid,1.0924754144641953
interested vaccine,1.0917561024718485
passport currently,1.090981229324558
day vaccine,1.0880053822167577
passport change,1.08570910178672
passport minority,1.0848478846859204
vaccinate anti,1.0836701967481936
know people,1.0831962520622371
pledge challenge,1.0816250150601812
challenge province,1.0816250150601812
vaccine anti,1.0804342303254832
pass shopping,1.0800778684795722
government unveil,1.0787857203856275
die covid,1.077889856119203
vaccine amp,1.0770706058407806
temporary vaccine,1.0755831495078871
passport soon,1.0754369832948787
totally agree,1.0752173454318765
anti vaccination,1.0747654129260291
refuse vaccine,1.074702193667263
ask covid,1.0734482993910852
attend event,1.0717394765023749
quebec covid,1.0715763968871341
people choice,1.0706655293610476
proof negative,1.069226605978109
vaccination certificate,1.068344662209082
billion vaccine,1.0675622172516284
passport anti,1.0673500385641237
application store,1.067014684613694
check covid,1.0664894357065442
know covid,1.0641203712654652
passport provincial,1.0615803289094914
vax pass,1.0612177193894192
fascism vaccine,1.0611814154860262
measure vaccine,1.0610540978254914
passport citizen,1.0579516385554633
covid free,1.0568936287373398
people understand,1.056799556380149
soon vaccine,1.0548772266085966
passport bcpoli,1.05230914161916
know vaccinate,1.0506392914444316
hey vaccine,1.0501040813636964
require government,1.0495444642192473
passport necessary,1.0461634847330243
lead vaccine,1.045781402721615
gym bar,1.0443112229959512
vaccinated unvaccinated,1.0431530941706544
ve introduce,1.042743054058468
health record,1.0423769687336502
passport trial,1.0415936031650332
like restaurant,1.0409871354284226
reward vaccination,1.0403547113546374
formal reward,1.0403547113546374
passport formal,1.0403547113546374
covid control,1.039836627600169
form proof,1.0387632267827374
life vaccine,1.0387391126852243
cause problem,1.0379625156614063
passport game,1.0357229869065585
refuse vaccinate,1.0355160733168227
follow science,1.0308875710046217
convenience card,1.0295538534682365
plan implement,1.0295482459611573
maybe vaccine,1.028696554391939
forget nhs,1.0274338869872026
private business,1.0268013912797949
away people,1.0240258183968156
passport fucking,1.022989004552553
passport provide,1.0222512181329313
gon applicable,1.0214897613669336
sick die,1.0203752122137106
long time,1.0202376478586044
evidence vaccine,1.0197596081204532
province amp,1.0195455229497545
exempt vaccine,1.019112127322911
venue covid,1.0186317320492266
passport vaccinepassport,1.0182028777553032
sort vaccine,1.0144814412467877
passport gov,1.0135013618129838
mask vaccine,1.0133919642410913
honestly vaccine,1.0118711258741067
world vaccine,1.0117101866117253
soon possible,1.010961071607667
passport month,1.0090944087734166
restaurant movie,1.0089582604473661
scared vaccine,1.0072657975788837
positive pcr,1.0057644193827076
good luck,1.005611240279678
ostracize people,1.005379789129651
passport ostracize,1.005379789129651
shot lawyer,1.005379789129651
develop vaccine,1.0045665598851756
people like,1.0036809233662203
normal good,1.0030758463679692
treat like,1.0028119628435734
great information,1.0
wonderful news,1.0
